thread_id,thread_title,post_idx_in_thread,page_idx_in_thread,timestamp_utc,author_hmac,author_was_guest,content_clean,content_hash,content_len_chars,content_len_chars_raw,is_reply,had_quote_block,n_urls,n_emojis,parent_post_idx,votes_up,votes_down,url_canonical,parser_version,scraped_at_utc
69417045,Życzenia Noworoczne,0,0,2024-12-31T19:35:00+00:00,76aaad0b7eea1c155497,True,"Życzę sobie i Wam 300 zł za akcję w 2025 roku, życzę samych wzrostów i sukcesów w podejmowaniu właściwych decyzji. A mi możecie pożyczyć miłości :) Pieniądze to nie wszystko. Najważniejsze to zdrówko i miłość. Będzie dobrze.",96d8bd89b290fd21,224,224,False,False,0,0,,3,0,"https://www.bankier.pl/forum/temat_zyczenia-noworoczne,69417045.html",0.2.0,2026-05-14T13:17:59.111590+00:00
69417045,Życzenia Noworoczne,1,1,2024-12-31T20:27:00+00:00,e44ccff6d2759ef15643,True,"Życzymy Ci żebyś nie był taka chorągiewka raz na wzrosty raz na spadki , i zdrówka",d79b6d4135484403,82,82,False,False,0,0,,5,0,"https://www.bankier.pl/forum/temat_re-zyczenia-noworoczne,69417229.html",0.2.0,2026-05-14T13:18:02.664859+00:00
69415753,Brand Wiedzmina mozna tylko popsuć.,0,0,2024-12-31T15:13:00+00:00,546fe158fa8ec8c5296e,True,"Zrobił to Netflix . Teraz do tego dołoży się Ciri- wspomnicie moje słowa, że W4 będzie wielkim zawodem Serii wiedzmin.",107eba16500757ee,118,118,False,False,0,0,,4,26,"https://www.bankier.pl/forum/temat_brand-wiedzmina-mozna-tylko-popsuc,69415753.html",0.2.0,2026-05-14T13:18:44.213895+00:00
69415753,Brand Wiedzmina mozna tylko popsuć.,1,1,2024-12-31T16:59:00+00:00,8715b2a7b94e436fde47,True,Lecz sie na glowe..,8dd0715f229fe67c,19,19,False,False,0,0,,7,1,"https://www.bankier.pl/forum/temat_re-brand-wiedzmina-mozna-tylko-popsuc,69416319.html",0.2.0,2026-05-14T13:18:54.119541+00:00
69415753,Brand Wiedzmina mozna tylko popsuć.,2,2,2024-12-31T18:54:00+00:00,0798e9623a4b317274c7,True,Pamiętaj że to co popsuja W4 to remake W1 naprawi,3b0fd148475d973c,49,49,False,False,0,0,,2,4,"https://www.bankier.pl/forum/temat_re-brand-wiedzmina-mozna-tylko-popsuc,69416885.html",0.2.0,2026-05-14T13:18:57.885922+00:00
69415753,Brand Wiedzmina mozna tylko popsuć.,3,3,2024-12-31T19:06:00+00:00,f631c023aeb4b65cb998,True,Wiedźmin to taka marka że nawet jeśli nie wszystkim gracza będzie się podobać sprzeda się w dziesiątkach mln sztukanie będzie potrzebować tak ogromnych wydatków jak Cyberpunk dlatego zysk dla CDP będzie o wiele wiekszy,4ec76c5bc3f299a8,218,218,False,False,0,0,,9,1,"https://www.bankier.pl/forum/temat_re-brand-wiedzmina-mozna-tylko-popsuc,69416921.html",0.2.0,2026-05-14T13:19:01.268830+00:00
69410605,Kiedy mityczny skup akcji,0,0,2024-12-30T20:08:00+00:00,4105b7086e1ae0cc6ab7,True,Na co czekają?,43262680a2ebd8cb,14,14,False,False,0,0,,0,4,"https://www.bankier.pl/forum/temat_kiedy-mityczny-skup-akcji,69410605.html",0.2.0,2026-05-14T13:19:07.717683+00:00
69410605,Kiedy mityczny skup akcji,1,1,2024-12-30T20:56:00+00:00,adcb4c6872abc5ee46d1,True,Tak szczerze to po co ci teraz ten skup,7676f9f9a8714f77,39,39,False,False,0,0,,3,0,"https://www.bankier.pl/forum/temat_re-kiedy-mityczny-skup-akcji,69410953.html",0.2.0,2026-05-14T13:19:10.565590+00:00
69410605,Kiedy mityczny skup akcji,2,2,2024-12-30T21:04:00+00:00,6cf0abe64113b4c1fadb,True,Na swawolnka okrutnego tylko na niego i skup się zaczyna,577dfcf1700800d7,56,56,False,False,0,0,,0,0,"https://www.bankier.pl/forum/temat_re-kiedy-mityczny-skup-akcji,69411027.html",0.2.0,2026-05-14T13:19:14.024029+00:00
69410605,Kiedy mityczny skup akcji,3,3,2024-12-30T21:59:00+00:00,e44ccff6d2759ef15643,True,A na ch ten skup skoro akcjneuroaly prawie 100% a teraz prędkość wzrostu będzie się rozkręcać.,4011bbad30b5439e,94,94,False,False,0,0,,5,0,"https://www.bankier.pl/forum/temat_re-kiedy-mityczny-skup-akcji,69411459.html",0.2.0,2026-05-14T13:19:17.086418+00:00
